employee_id,first_name,last_name,gender,state,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime,birthdate,termdate
00-95822412,Danielle,Johnson,Male,New York,Buffalo,2016-04-10,Operations,Inventory Specialist,Bachelor,68958,Good,No,1971-11-16,2016-10-07
00-42868828,Jeffrey,Doyle,Female,New York,Rochester,2017-09-04,Operations,Logistics Coordinator,Bachelor,61226,Satisfactory,No,1974-06-17,2019-04-01
00-83197857,Patricia,Miller,Female,New York,Buffalo,2016-06-03,Customer Service,Help Desk Technician,High School,83392,Good,No,1993-09-09,2019-12-28
00-13999315,Anthony,Robinson,Female,Pennsylvania,Pittsburgh,2016-07-03,Customer Service,Support Specialist,Bachelor,53636,Needs Improvement,Yes,1974-05-03,2020-05-11
00-90801586,Anthony,Gonzalez,Female,Illinois,Aurora,2015-08-25,Operations,Logistics Coordinator,Bachelor,54716,Satisfactory,No,1999-03-29,2022-01-16
00-97226012,Amy,Robinson,Male,North Carolina,Greensboro,2022-08-03,Operations,Operations Analyst,Master,64272,Satisfactory,No,1979-09-07,2023-01-30
00-70291817,Lisa,Smith,Female,New York,Buffalo,2020-10-21,Marketing,SEO Specialist,Bachelor,55259,Good,Yes,1980-05-12,2023-02-22
00-31429110,Helen,Peterson,Female,New York,New York City,2022-02-26,Customer Service,Support Specialist,High School,63164,Satisfactory,Yes,1986-07-06,2022-08-25
00-30868105,Susan,Rogers,Male,New York,Buffalo,2017-02-03,Marketing,Content Creator,High School,60377,Good,No,1974-08-21,2021-03-14
00-22448136,Colin,Abbott,Female,New York,New York City,2018-08-08,Sales,Sales Specialist,PhD,88240,Excellent,No,1968-04-24,2019-02-04
00-56164955,Lindsay,Blair,Female,New York,Buffalo,2021-07-15,IT,Software Developer,Master,101175,Good,Yes,1982-12-10,2024-07-03
00-71662963,Teresa,Gray,Male,New York,Rochester,2020-07-20,Operations,Operations Analyst,Bachelor,95194,Good,No,1970-04-28,2022-09-22
00-84093639,Maria,Montgomery,Male,New York,Buffalo,2017-11-10,Sales,Sales Specialist,Master,61432,Good,Yes,1970-02-04,2022-04-28
00-58537831,Barbara,Bush,Male,New York,Rochester,2020-01-17,Sales,Sales Representative,Bachelor,60700,Good,Yes,1998-12-27,2020-09-29
00-16150444,Jeremy,Roberts,Female,Michigan,Grand Rapids,2022-01-30,Operations,Logistics Coordinator,Bachelor,56869,Good,No,1987-04-28,2022-07-29
00-41244663,Jesse,Garcia,Female,Michigan,Detroit,2023-04-12,Operations,Logistics Coordinator,Bachelor,55285,Needs Improvement,No,1996-11-11,2023-10-09
00-70855700,Cynthia,Diaz,Female,New York,Rochester,2021-05-15,Sales,Sales Representative,Bachelor,64623,Needs Improvement,No,1976-01-29,2021-11-11
00-59684848,Jason,Adams,Female,New York,Rochester,2018-12-07,HR,HR Coordinator,Master,56439,Good,Yes,1979-10-28,2023-08-10
00-96977837,Deborah,Lynch,Male,North Carolina,Greensboro,2016-03-03,Operations,Logistics Coordinator,Bachelor,71664,Good,Yes,1990-06-30,2018-04-16
00-81691040,Jessica,Martin,Male,New York,Buffalo,2022-05-19,Sales,Sales Manager,PhD,75371,Good,No,1981-06-06,2022-11-15
00-60929647,Veronica,Bowman,Female,New York,Rochester,2017-07-22,Marketing,SEO Specialist,Bachelor,77530,Excellent,No,2002-02-23,2021-05-30
00-84752529,Gabrielle,Cameron,Female,New York,Rochester,2017-10-10,Customer Service,Customer Service Representative,High School,58023,Good,No,1987-03-09,2024-07-21
00-17507864,Jeremy,Johnson,Female,New York,Buffalo,2017-04-25,Marketing,Content Creator,Bachelor,63339,Satisfactory,Yes,2003-05-04,2017-10-22
00-52339391,Joseph,Clark,Female,New York,Buffalo,2019-12-10,Operations,Logistics Coordinator,Bachelor,59266,Good,No,2003-12-20,2023-05-24
00-86125617,Nancy,Edwards,Female,New York,Rochester,2023-08-27,Customer Service,Support Specialist,Bachelor,60675,Good,No,1970-03-16,2024-02-23
00-97971488,Randall,Rocha,Female,New York,Buffalo,2020-06-16,HR,HR Coordinator,Master,66289,Excellent,No,1975-09-05,2022-08-07
00-29175900,Joseph,Wright,Female,New York,Rochester,2017-07-24,Customer Service,Help Desk Technician,High School,56656,Excellent,No,1998-12-03,2022-05-17
00-85345555,Jose,Richards,Male,New York,New York City,2020-11-23,Sales,Sales Representative,Bachelor,65569,Satisfactory,No,1980-09-17,2021-05-22
00-67503414,Reginald,Robinson,Male,New York,Rochester,2023-12-30,Sales,Sales Consultant,Master,63698,Good,No,1978-01-19,2024-06-27
00-39436733,William,Davis,Male,New York,New York City,2024-01-18,Operations,Inventory Specialist,High School,55371,Good,No,1993-01-17,2024-07-16
00-76238574,Daniel,Burton,Male,New York,Buffalo,2016-10-16,Sales,Sales Representative,Bachelor,77511,Good,No,1997-03-28,2018-01-20
00-24716857,Robert,Brown,Female,New York,Rochester,2017-05-19,Marketing,Marketing Coordinator,Bachelor,61498,Good,No,1974-08-07,2022-05-07
00-66661351,Wendy,Rice,Male,New York,Buffalo,2020-12-20,IT,Software Developer,Bachelor,89258,Good,No,1982-08-13,2022-04-22
00-89978790,Michelle,Smith,Female,New York,New York City,2024-09-20,IT,Software Developer,Bachelor,78677,Good,No,2000-12-01,2025-03-19
00-84252722,Erin,Herrera,Male,Michigan,Detroit,2023-04-08,Operations,Operations Analyst,Master,86342,Satisfactory,Yes,1977-06-28,2023-10-05
00-25374874,Danielle,Rodriguez,Male,New York,New York City,2022-06-08,Operations,Operations Analyst,Master,54365,Excellent,No,1983-07-04,2022-12-05
00-45812670,Shawn,Mckay,Male,New York,New York City,2022-11-15,IT,Software Developer,Bachelor,88631,Good,No,1994-10-05,2023-05-14
00-49392920,Jose,Mason,Male,New York,Buffalo,2019-03-07,Customer Service,Help Desk Technician,High School,84400,Satisfactory,No,1988-04-09,2024-11-13
00-45351479,Rita,Harrell,Male,Michigan,Warren,2024-04-18,Finance,Accountant,Bachelor,78640,Good,Yes,1978-09-13,2024-10-15
00-24282218,Danielle,Lynch,Female,New York,Rochester,2023-02-25,Sales,Sales Consultant,Bachelor,67121,Satisfactory,No,1984-09-14,2023-08-24
00-95758349,Kathryn,Ryan,Female,Michigan,Grand Rapids,2020-10-11,Customer Service,Customer Service Representative,Bachelor,60448,Good,No,1996-09-25,2021-04-09
00-60185867,Alyssa,Smith,Male,Virginia,Virginia Beach,2022-04-28,Marketing,Content Creator,Bachelor,65402,Needs Improvement,No,1998-10-04,2022-10-25
00-81182864,Andrew,Hickman,Male,Michigan,Grand Rapids,2024-11-16,IT,System Administrator,Bachelor,76637,Good,Yes,1973-09-15,2025-05-15
00-75579548,Marie,Parker,Female,New York,New York City,2015-01-22,Sales,Sales Representative,Bachelor,54320,Good,Yes,1994-05-20,2017-03-17
00-51273847,Natalie,Arroyo,Male,New York,Buffalo,2017-02-01,IT,System Administrator,Master,90602,Good,No,1980-12-11,2018-01-28
00-20570592,Todd,Jones,Female,Pennsylvania,Allentown,2016-10-04,Customer Service,Customer Service Representative,Bachelor,51934,Good,No,2003-08-03,2021-12-29
00-19289546,Katie,Anderson,Female,Michigan,Detroit,2024-06-22,Operations,Inventory Specialist,Bachelor,65508,Good,No,1980-01-28,2024-12-19
00-26879290,Andrea,Baker,Male,New York,Rochester,2016-11-14,Operations,Inventory Specialist,High School,57289,Satisfactory,No,2001-04-19,2021-05-26
00-32162965,Rodney,Lewis,Female,New York,Rochester,2017-07-16,HR,Recruiter,High School,65502,Good,No,1978-01-28,2021-02-05
00-38427073,Jessica,Harris,Female,Illinois,Aurora,2024-04-23,Sales,Sales Manager,Master,111362,Satisfactory,Yes,1987-03-05,2024-10-20
00-36998038,Wanda,Santos,Female,New York,Rochester,2022-06-09,Customer Service,Help Desk Technician,High School,67679,Excellent,Yes,1985-02-26,2022-12-06
00-97225156,Zachary,Martinez,Male,Michigan,Grand Rapids,2018-03-23,Customer Service,Support Specialist,Bachelor,60825,Satisfactory,No,1988-06-07,2022-01-11
00-26240908,Matthew,Chapman,Male,Michigan,Detroit,2017-03-25,Operations,Inventory Specialist,High School,55163,Satisfactory,No,2004-01-03,2020-04-01
00-12823170,Jeffrey,Jones,Female,New York,Rochester,2020-08-18,Customer Service,Support Specialist,High School,59371,Needs Improvement,Yes,1975-08-30,2021-02-14
00-39557077,Jeremy,Whitehead,Male,New York,Buffalo,2015-11-09,Customer Service,Support Specialist,Bachelor,67003,Satisfactory,No,1989-07-05,2021-09-08
00-17901903,Chad,Young,Female,New York,Rochester,2017-09-01,HR,Recruiter,High School,53528,Good,Yes,1987-08-11,2021-08-12
00-54349361,Jason,Anderson,Female,North Carolina,Raleigh,2016-12-07,Customer Service,Help Desk Technician,High School,81790,Satisfactory,No,1996-04-29,2022-01-23
00-99788677,Ashley,Kennedy,Female,New York,Buffalo,2019-10-13,Marketing,Marketing Coordinator,Bachelor,76887,Satisfactory,No,1982-07-25,2021-09-05
00-86644106,Lindsey,Lee,Male,North Carolina,Greensboro,2020-02-05,Finance,Financial Analyst,PhD,96487,Good,No,1979-11-30,2020-08-03
00-73481353,Ryan,Henderson,Male,Ohio,Cleveland,2023-06-19,Customer Service,Customer Service Representative,High School,58945,Good,No,1994-04-15,2023-12-16
00-23009833,Jessica,Nunez,Male,New York,Rochester,2022-12-25,Sales,Sales Representative,Bachelor,81739,Needs Improvement,Yes,1964-10-13,2024-12-15
00-65177213,Corey,Powell,Male,New York,Buffalo,2019-05-04,Marketing,Content Creator,Bachelor,64503,Satisfactory,No,1976-10-02,2019-10-31
00-97705310,Michelle,Wright,Male,New York,New York City,2024-03-10,Operations,Logistics Coordinator,Bachelor,71864,Needs Improvement,Yes,1964-08-22,2024-09-06
00-64038913,Shane,Henderson,Female,New York,Rochester,2022-04-12,Customer Service,Customer Service Representative,High School,65105,Good,Yes,1982-04-10,2022-10-09
00-35714784,John,Leblanc,Male,New York,New York City,2017-06-11,Sales,Sales Specialist,Master,79089,Good,No,1982-01-25,2020-07-19
00-66623995,Michelle,Pierce,Male,New York,New York City,2017-01-19,Customer Service,Help Desk Technician,High School,81032,Excellent,Yes,2003-12-04,2024-06-02
00-20117988,Yvette,Huff,Female,New York,Buffalo,2019-12-19,Operations,Logistics Coordinator,Bachelor,57224,Good,No,1973-12-20,2023-09-23
00-16789850,Sara,Allison,Male,New York,Rochester,2022-03-02,Sales,Sales Representative,Bachelor,82505,Good,Yes,1978-11-19,2022-08-29
00-11980765,Todd,Lewis,Female,New York,Buffalo,2024-05-26,Operations,Inventory Specialist,Bachelor,62066,Good,No,1960-07-07,2024-11-22
00-64547971,Brian,Gray,Male,New York,New York City,2019-12-25,Sales,Sales Consultant,PhD,90425,Good,No,1983-03-06,2023-08-25
00-63826716,Joseph,Bowers,Female,New York,New York City,2023-06-15,Sales,Sales Representative,Bachelor,72654,Good,No,1985-11-04,2023-12-12
00-10289289,Rodney,Bernard,Female,North Carolina,Greensboro,2024-12-29,IT,Software Developer,Master,102587,Good,Yes,1995-09-14,2025-06-27
00-71070189,Angela,Higgins,Male,Illinois,Chicago,2017-02-26,Sales,Sales Representative,Bachelor,62939,Good,Yes,2000-09-14,2017-08-25
00-84593961,Kenneth,Novak,Male,New York,Buffalo,2022-07-30,Finance,Financial Analyst,PhD,94956,Satisfactory,No,1976-04-12,2023-01-26
00-35487660,Amy,Adkins,Male,New York,Rochester,2017-01-21,Sales,Sales Representative,Bachelor,79260,Satisfactory,Yes,1980-04-07,2019-04-14
00-82772208,Breanna,Shaw,Female,Michigan,Warren,2016-11-07,Customer Service,Customer Service Representative,Bachelor,65244,Good,No,1964-07-24,2017-09-23
00-16729990,Eric,Yu,Male,New York,New York City,2020-01-30,Sales,Sales Representative,Bachelor,70304,Good,No,1985-08-22,2020-07-28
00-81286543,Jacob,Larson,Female,Michigan,Warren,2017-09-03,Operations,Inventory Specialist,Bachelor,55587,Good,No,1997-09-13,2021-05-01
00-34941004,Joe,Wilson,Female,New York,Rochester,2016-11-20,IT,IT Support Specialist,Bachelor,58941,Excellent,Yes,1994-06-07,2017-05-19
00-41568532,John,Wheeler,Female,New York,Rochester,2019-08-14,Operations,Inventory Specialist,Bachelor,55251,Satisfactory,No,1989-10-28,2021-08-07
00-87701200,Robert,Silva,Female,New York,Buffalo,2020-07-09,Operations,Inventory Specialist,High School,55647,Satisfactory,No,1970-10-24,2021-01-05
00-66267415,Sarah,Harris,Male,New York,Buffalo,2022-09-18,Sales,Sales Representative,Bachelor,61804,Good,No,1991-04-19,2024-05-14
00-52462441,John,Foster,Male,New York,New York City,2024-09-02,Operations,Operations Analyst,Bachelor,86374,Needs Improvement,No,1970-04-12,2025-03-01
00-52169044,Kevin,Stewart,Female,New York,Buffalo,2017-10-01,Sales,Sales Consultant,PhD,93153,Good,No,1966-05-07,2021-04-21
00-96637649,Charles,Ellis,Female,New York,Rochester,2017-12-30,Sales,Sales Representative,Bachelor,66940,Good,No,1984-10-31,2021-06-14
00-19736572,Wendy,Jones,Male,New York,New York City,2015-03-19,Operations,Operations Manager,Bachelor,110499,Good,No,1991-04-02,2024-08-16
00-23419256,Joseph,Mahoney,Female,New York,Buffalo,2016-11-17,Operations,Operations Analyst,Bachelor,78130,Satisfactory,No,1997-05-09,2021-12-02
